-1240,1152,-2816
-1144,1264,-1864
-920,1304,-1024
-712,1224,-512
-424,1024,-448
-136,832,-416
120,464,168
392,152,344
552,112,320
440,232,-16
112,360,-128
-112,408,-136
-216,248,-296
-160,-128,-184
32,-336,-64
-32,80,-744
-528,784,-2168
-1032,1312,-2688
-1160,1528,-2128
-1032,1608,-1128
-824,1584,-480
-592,1504,-304
-328,1240,-400
416,152,32
536,152,240
480,312,224
280,344,40
32,288,-104
-112,56,-456
-144,-160,-368
24,-128,-320
-48,232,-1024
-488,704,-2304
-944,960,-2944
-992,1056,-2200
-896,1064,-1152
-768,1064,-696
-568,968,-592
-288,776,-624
-48,536,-280
200,360,112
376,304,256
440,320,280
368,296,184
192,224,-16
64,104,-192
-72,24,-344
-8,264,-968
-400,816,-2448
-872,1136,-2984
-976,1096,-2504
-816,960,-1664
-648,880,-1040
-448,784,-696
-168,632,-576
112,432,-304
272,344,136
360,280,176
368,264,136
256,240,-8
64,168,-144
-72,88,-384
-200,184,-600
-216,432,-1048
-152,648,-1480
-176,760,-2120
-328,872,-2296
-416,952,-1976
-360,872,-1216
-272,712,-752
-152,520,-448
64,288,-224
112,208,-152
168,272,24
272,328,72
376,304,72
304,360,-224
152,480,-512
-32,608,-744
-120,664,-968
-152,712,-1144
-160,688,-1336
-136,808,-1504
-224,984,-1672
-328,1024,-1632
-368,920,-1400
-320,760,-968
-224,592,-592
-112,464,-400
-24,416,-336
32,392,-248
72,416,-144
112,456,-16
192,432,-40
240,368,-80
96,432,-200
-8,488,-456
-128,576,-848
-208,696,-1272
-256,776,-1584
-368,928,-1784
-528,1080,-2000
-600,1080,-1720
-552,888,-1112
-448,792,-728
-344,688,-536
-232,600,-512
-144,464,-568
-32,360,-360
32,312,-192
88,328,-48
104,336,-48
120,320,-40
64,320,-120
8,352,-248
-40,464,-368
-112,552,-632
-208,624,-1072
-272,752,-1416
-320,1024,-1528
-360,1112,-1456
-344,976,-1080
-344,840,-920
-304,736,-760
-256,688,-608
-176,688,-536
-104,608,-392
8,440,-136
96,424,-312
64,512,-480
24,568,-720
-16,552,-792
-24,584,-776
0,592,-728
24,624,-784
32,648,-864
32,688,-824
48,704,-720
48,712,-704
64,704,-720
72,696,-728
80,720,-680
56,728,-640
48,720,-624
24,728,-648
8,744,-592
16,744,-576
40,728,-600
32,736,-624
24,768,-640
16,776,-592
40,784,-552
48,816,-616
32,856,-640
8,896,-528
24,952,-552
40,984,-440
48,1032,-464
8,1064,-432
-16,1016,-320
-32,968,-288
-32,960,-448
-96,968,-384
-152,920,-272
-160,888,-240
-152,872,-160
-200,1032,-456
-200,896,-408
-192,880,-312
-168,936,-224
-136,896,-32
-112,912,56
-200,1008,40
-256,1080,32
-280,1104,24
-264,1112,120
-328,1112,112
-392,1184,-16
-352,1160,-128
-360,1216,-304
-472,1080,-40
-496,1224,0
-472,1288,216
-488,1104,-40
-496,1032,-416
-632,1080,-432
-688,1056,-96
-680,984,-208
-696,944,-176
-648,784,-8
-608,664,88
-496,608,64
-456,552,72
-392,472,16
-352,480,16
-328,520,40
-312,568,48
-296,600,64
-256,696,48
-200,760,16
-152,832,-88
-128,888,-104
-120,920,-112
-112,984,-120
-112,1016,-104
-96,1088,-64
-104,1144,-56
-112,1200,-128
-120,1256,-144
-144,1312,-112
-152,1360,-184
-144,1376,-184
-128,1336,-112
-160,1264,-8
-176,1176,0
-192,992,16
-160,904,40
-152,840,136
-160,816,136
-160,776,144
-160,760,136
-144,760,88
-120,768,72
-80,816,8
-64,888,40
-72,920,40
-64,984,16
-72,1024,-16
-96,1040,-40
-88,1064,-8
-64,1104,-40
-64,1120,32
-64,1144,-48
-72,1144,-24
-80,1152,0
-48,1168,-32
-16,1184,-16
16,1120,40
64,1120,40
128,1000,-40
120,992,-56
104,968,-72
72,968,24
56,952,-8
32,960,40
-8,984,32
-56,960,-16
-104,984,-80
-152,952,-32
-216,968,24
-216,1000,32
-240,1064,72
-216,1096,136
-168,1008,128
-144,896,80
-160,920,-16
-160,888,-48
-176,864,-72
-272,768,112
-312,768,264
-312,936,456
-296,1096,464
-360,1224,504
-96,928,-144
128,256,-48
168,-416,0
232,-960,160
256,-1232,344
192,-1224,464
80,-1136,208
-72,-984,-864
-488,152,-1984
-1296,2112,-2224
-2048,3096,1184
